6201,720,-3919,308
6201,7592,-3977,509
6201,624,4023,431
6201,7578,4215,879
6201,7871,5862,897
6201,702,6061,538
6201,7611,14008,912
6201,716,14145,564
6201,415,15823,517
6201,7555,16059,894
6201,652,24031,409
6201,7578,24207,680
6201,9796,24197,660
6201,17282,24181,654
6201,10177,16177,890
6201,17290,15992,897
6201,17555,14349,906
6201,10267,14130,913
6201,17359,6241,889
6201,10221,6026,894
6201,9983,4428,880
6201,17330,4175,863
6201,10192,-3799,516
6201,17286,-3957,505
6201,19502,-3931,495
6201,26881,-3938,312
6201,19870,4031,860
6201,26937,4202,479
6201,27180,5833,489
6201,19948,6048,891
6201,26962,14027,578
6201,19954,14165,917
6201,19665,15834,901
6201,26878,16040,584
6201,19868,24049,691
6201,26893,24203,439
