6201,726,-3935,262
6201,7770,-3953,504
6201,635,4026,479
6201,7590,4235,876
6201,7925,5846,899
6201,724,6067,515
6201,7629,13980,911
6201,722,14182,547
6201,444,15840,518
6201,7594,16067,894
6201,635,23997,344
6201,7572,24203,674
6201,9817,24142,557
6201,17272,24193,579
6201,10159,16194,871
6201,17288,16018,885
6201,17728,14252,850
6201,10227,14086,900
6201,17379,6240,882
6201,10249,5990,882
6201,9810,4327,859
6201,17315,4201,824
6201,10182,-3804,485
6201,17290,-3873,495
6201,19496,-3989,484
6201,26915,-3982,290
6201,19917,4030,861
6201,26912,4105,464
6201,27247,5938,489
6201,19968,6088,891
6201,26951,14006,516
6201,19969,14186,917
6201,19588,15853,890
6201,26894,16075,509
6201,19896,24007,656
6201,26890,24106,372
