0,796,911,233
1,603,917,233
2,792,700,233
3,604,695,233
4,598,651,233
5,791,645,233
6,603,431,233
7,791,428,233
8,799,382,233
9,606,377,233
10,791,160,233
11,604,155,233
12,546,155,233
13,342,157,233
14,535,372,233
15,342,377,233
16,334,421,233
17,531,426,233
18,340,642,233
19,533,647,233
20,541,690,233
21,342,697,233
22,535,911,233
23,343,917,233
24,282,917,233
25,82,917,233
26,272,700,233
27,84,695,233
28,72,651,233
29,270,647,233
30,81,432,233
31,270,426,233
32,278,382,233
33,82,377,233
34,270,160,233
35,84,155,233
