6101,1594,1821,88
6102,1772,1823,285
6103,1779,1618,338
6104,1514,1614,25
6105,1507,1456,36
6106,1633,1447,60
6107,1744,1449,190
6108,1751,1329,179
6109,1633,1322,23
6110,1520,1324,8
6111,1512,1172,30
6112,1632,1156,43
6113,1638,1028,90
6114,1746,1020,119
6115,1751,881,199
6116,1510,880,10
6117,1503,739,29
6118,1623,733,40
6119,1777,733,228
6120,1782,575,204
6121,1527,567,7
6122,1632,444,51
6123,1635,305,138
6124,1466,297,19
6125,1459,170,44
6126,1206,167,130
6127,1197,316,34
6128,1204,483,168
6129,1334,487,19
6130,1348,644,8
6131,1209,651,13
6132,1201,739,7
6133,1204,840,5
6134,1203,939,5
6135,1074,948,15
6136,1068,1083,34
6137,1069,1156,49
6138,1201,1170,156
6139,1331,1160,12
6140,1339,1355,8
6141,1076,1360,62
6142,1071,1555,81
6143,1191,1561,8
6144,1201,1744,46
6145,1201,1960,126
6146,1454,1966,95
6147,1457,1799,10
6148,1080,1790,42
6149,794,1797,204
