6101,1594,1821,135
6102,1772,1825,503
6103,1779,1616,689
6104,1514,1614,30
6105,1507,1456,63
6106,1633,1447,88
6107,1744,1449,287
6108,1751,1329,330
6109,1633,1322,32
6110,1520,1324,15
6111,1512,1170,53
6112,1632,1156,63
6113,1638,1028,142
6114,1746,1020,259
6115,1751,881,395
6116,1508,880,20
6117,1503,739,65
6118,1625,733,79
6119,1779,733,582
6120,1782,574,578
6121,1527,567,25
6122,1632,444,124
6123,1637,304,233
6124,1467,297,79
6125,1459,170,181
6126,1203,165,572
6127,1197,316,130
6128,1203,483,221
6129,1334,487,46
6130,1348,644,28
6131,1211,651,49
6132,1201,739,28
6133,1204,840,19
6134,1201,939,16
6135,1073,948,42
6136,1066,1083,89
6137,1068,1158,128
6138,1201,1170,170
6139,1331,1162,20
6140,1339,1355,23
6141,1076,1362,241
6142,1069,1555,323
6143,1192,1561,26
6144,1201,1744,85
6145,1199,1961,243
6146,1456,1966,187
6147,1457,1799,33
6148,1056,1790,209
6149,796,1796,537
