6101,1594,1821,761
6102,1773,1825,1194
6103,1779,1618,1538
6104,1514,1614,140
6105,1507,1456,150
6106,1633,1447,327
6107,1744,1449,1307
6108,1751,1329,989
6109,1633,1322,200
6110,1520,1324,69
6111,1512,1172,152
6112,1633,1156,298
6113,1638,1028,290
6114,1729,1018,530
6115,1749,881,1258
6116,1508,880,69
6117,1503,739,177
6118,1623,733,274
6119,1780,734,2217
6120,1782,574,1597
6121,1527,567,81
6122,1632,444,433
6123,1637,304,346
6124,1466,297,186
6125,1457,189,331
6126,1203,167,1100
6127,1197,316,319
6128,1203,483,210
6129,1336,487,88
6130,1348,644,73
6131,1209,651,102
6132,1201,739,70
6133,1204,842,54
6134,1203,939,46
6135,1073,948,117
6136,1066,1083,259
6137,1069,1158,370
6138,1201,1170,53
6139,1314,1163,44
6140,1339,1356,82
6141,1076,1362,666
6142,1069,1553,995
6143,1192,1561,195
6144,1201,1743,483
6145,1201,1960,11410
6146,1452,1966,14700
6147,1457,1797,260
6148,1059,1790,1108
6149,796,1797,13290
